frame.number,frame.time,ip.src,ip.dst,tcp.port,frame.len
"189","Oct 22, 2017 12:46:47.933310000 CEST","192.168.1.142","93.184.220.29","35396","505"
"190","Oct 22, 2017 12:46:47.937073000 CEST",,,"80","86"
"191","Oct 22, 2017 12:46:47.938332000 CEST",,,"80","1506"
"192","Oct 22, 2017 12:46:47.938436000 CEST",,,"55062","86"
"193","Oct 22, 2017 12:46:47.939228000 CEST",,,"80","1167"
"194","Oct 22, 2017 12:46:47.939315000 CEST",,,"55062","86"
"195","Oct 22, 2017 12:46:47.940125000 CEST",,,"80","94"
"196","Oct 22, 2017 12:46:47.940219000 CEST",,,"50208","86"
"197","Oct 22, 2017 12:46:47.943354000 CEST",,,"80","94"
"198","Oct 22, 2017 12:46:47.943475000 CEST",,,"50210","86"
"199","Oct 22, 2017 12:46:47.951632000 CEST","93.184.220.29","192.168.1.142","80","854"
"200","Oct 22, 2017 12:46:47.951742000 CEST","192.168.1.142","93.184.220.29","35396","66"
"201","Oct 22, 2017 12:46:48.070020000 CEST",,,"59410","523"
"202","Oct 22, 2017 12:46:48.070238000 CEST",,,"59412","523"
"203","Oct 22, 2017 12:46:48.072193000 CEST",,,"50210","520"
"204","Oct 22, 2017 12:46:48.072317000 CEST",,,"50208","520"
"205","Oct 22, 2017 12:46:48.072537000 CEST",,,"57960","94"
"206","Oct 22, 2017 12:46:48.073218000 CEST",,,"57966","94"
"207","Oct 22, 2017 12:46:48.080102000 CEST",,,"80","86"
"208","Oct 22, 2017 12:46:48.080431000 CEST",,,"80","86"
"209","Oct 22, 2017 12:46:48.081126000 CEST",,,"80","1506"
"210","Oct 22, 2017 12:46:48.081204000 CEST",,,"50210","86"
"211","Oct 22, 2017 12:46:48.081923000 CEST",,,"80","441"
"212","Oct 22, 2017 12:46:48.081983000 CEST",,,"50210","86"
"213","Oct 22, 2017 12:46:48.082865000 CEST",,,"80","1506"
"214","Oct 22, 2017 12:46:48.082925000 CEST",,,"50208","86"
"215","Oct 22, 2017 12:46:48.082952000 CEST",,,"80","437"
"216","Oct 22, 2017 12:46:48.082994000 CEST",,,"50208","86"
"217","Oct 22, 2017 12:46:48.113102000 CEST",,,"80","832"
"218","Oct 22, 2017 12:46:48.113200000 CEST",,,"59410","86"
